791,Spirit,51
792,Stealth,51
793,Stratus,51
794,Viper,51
795,H30 Cross,52
796,MPV,52
797,Oting,52
798,Rich,52
799,Assol,53
800,Kondor,53
801,Orion,53
802,D8,54
803,GD04B,55
804,Premier,56
805,Summit,56
806,Talon,56
807,Vision,56
808,SS,57
809,Estrima Biro,58
810,A6,59
811,Audi 100,59
812,Besturn B50,59
813,Besturn B70,59
814,Bora,59
815,City Golf,59
816,Jetta,59
817,Jinn,59
818,Oley,59
819,V2,59
820,V5,59
821,Vita,59
822,208/308,60
823,328,60
824,348,60
825,360,60
826,400,60
827,412,60
828,456,60
829,458,60
830,512 BB,60
831,512 M,60
832,512 TR,60
833,550,60
834,575M,60
835,599,60
836,612,60
837,California,60
838,Enzo,60
839,F12berlinetta,60
840,F355,60
841,F40,60
842,F430,60
843,F50,60
844,FF,60
845,LaFerrari,60
846,Mondial,60
847,Testarossa,60
848,124,61
849,126,61
850,127,61
851,128,61
852,130,61
853,131,61
854,132,61
855,238,61
856,500,61
857,500L,61
858,600,61
859,900T,61
860,Albea,61
861,Argenta,61
862,Barchetta,61
863,Brava,61
864,Bravo,61
865,Cinquecento,61
866,Coupe,61
867,Croma,61
868,Doblo,61
869,Duna,61
870,Fiorino,61
871,Freemont,61
872,Idea,61
873,Linea,61
874,Marea,61
875,Multipla,61
876,Palio,61
877,Panda,61
878,Punto,61
879,Qubo,61
880,Regata,61
881,Ritmo,61
882,Sedici,61
883,Seicento,61
884,Siena,61
885,Stilo,61
886,Strada,61
887,Tempra,61
888,Tipo,61
889,Ulysse,61
890,UNO,61
891,X 1/9,61
892,Karma,62
893,Aerostar,63
894,Aspire,63
895,B-MAX,63
896,Bronco,63
897,C-MAX,63
898,Capri,63
899,Consul,63
900,Contour,63
901,Cougar,63
902,Crown Victoria,63
903,Econoline,63
904,EcoSport,63
905,Edge,63
906,Escape,63
907,Escort (North America),63
908,Escort,63
909,Everest,63
910,Excursion,63
911,Expedition,63
912,Explorer,63
913,F-150,63
914,Fairmont,63
915,Festiva,63
916,Fiesta,63
917,Five Hundred,63
918,Flex,63
919,Focus,63
920,Freestar,63
921,Freestyle,63
922,Fusion (North America),63
923,Fusion,63
924,Galaxy,63
925,Granada (North America),63
926,Granada,63
927,GT,63
928,Ixion,63
929,KA,63
930,Kuga,63
931,Laser,63
932,LTD Crown Victoria,63
933,Maverick,63
934,Mondeo,63
935,Mustang,63
936,Orion,63
937,Probe,63
938,Puma,63
939,Ranger (North America),63
940,Ranger,63
941,S-MAX,63
942,Scorpio,63
943,Sierra,63
944,Sport Trac,63
945,Taunus,63
946,Taurus,63
947,Taurus X,63
948,Tempo,63
949,Thunderbird,63
950,Tourneo Connect,63
951,Windstar,63
952,Midi,64
953,Tunland,64
954,125p,65
955,126p,65
956,127p,65
957,132p,65
958,Polonez,65
959,6500 (Land King),66
960,Beauty Leopard,67
961,CK (Otaka),67
962,Emgrand EC7,67
963,Emgrand EC8,67
964,Emgrand X7,67
965,FC (Vision),67
966,Haoqing,67
967,LC (Panda),67
968,LC (Panda) Cross,67
969,MK Cross,67
970,MK,67
971,MR,67
972,Metro,68
973,Prizm,68
974,Spectrum,68
975,Storm,68
976,Tracker,68
977,Acadia,69
978,Canyon,69
979,Envoy,69
980,Jimmy,69
981,Safari,69
982,Savana,69
983,Sierra,69
984,Sonoma,69
985,Suburban,69
986,Syclone,69
987,Terrain,69
988,Typhoon,69
989,Vandura,69
990,Yukon,69
991,Troy,70
992,Coolbear,71
993,Cowry (V80),71
994,Deer,71
995,Florid,71
996,Hover,71
997,Hover M1 (Peri 4x4),71
998,Hover M2,71
